ID	City	State	StateName	Population	Density	Timezone
1840034016	New York	NY	New York	18908608	11080.3	America/New_York
1840020491	Los Angeles	CA	California	11922389	3184.7	America/Los_Angeles
1840000494	Chicago	IL	Illinois	8497759	4614.5	America/Chicago
1840015149	Miami	FL	Florida	6080145	4758.9	America/New_York
1840020925	Houston	TX	Texas	5970127	1384.0	America/Chicago
1840019440	Dallas	TX	Texas	5830932	1478.7	America/Chicago
1840000673	Philadelphia	PA	Pennsylvania	5683533	4578.4	America/New_York
1840013660	Atlanta	GA	Georgia	5180179	1412.3	America/New_York
1840006060	Washington	DC	District of Columbia	5116378	4235.7	America/New_York
1840000455	Boston	MA	Massachusetts	4328315	5319.0	America/New_York
1840020568	Phoenix	AZ	Arizona	4064275	1198.9	America/Phoenix
1840003971	Detroit	MI	Michigan	3725908	1772.2	America/Detroit
1840021117	Seattle	WA	Washington	3561397	3376.6	America/Los_Angeles
1840021543	San Francisco	CA	California	3364979	7030.7	America/Los_Angeles
1840021990	San Diego	CA	California	3046560	1639.7	America/Los_Angeles
1840007830	Minneapolis	MN	Minnesota	2892569	3052.2	America/Chicago
1840015982	Tampa	FL	Florida	2861173	1320.9	America/New_York
1840034030	Brooklyn	NY	New York	2736074	15200.5	America/New_York
1840018789	Denver	CO	Colorado	2687458	1792.9	America/Denver
1840034002	Queens	NY	New York	2405464	8503.7	America/New_York
1840020551	Riverside	CA	California	2332836	1503.9	America/Los_Angeles
1840020364	Las Vegas	NV	Nevada	2248047	1755.1	America/Los_Angeles
1840001592	Baltimore	MD	Maryland	2196524	2788.2	America/New_York
1840001651	St. Louis	MO	Missouri	2130881	1864.3	America/Chicago
1840019941	Portland	OR	Oregon	2095808	1868.8	America/Los_Angeles
1840022220	San Antonio	TX	Texas	2058444	1118.8	America/Chicago
1840021491	Sacramento	CA	California	1957738	2049.4	America/Los_Angeles
1840019590	Austin	TX	Texas	1905945	1154.1	America/Chicago
1840015099	Orlando	FL	Florida	1882705	1070.2	America/New_York
