,School_Original,Nickname_Original,Conference_Original,ID,FullName,ShortName,Mascot,Location,Conference,PrestigeHistoric,PrestigeCurrent
0,"University at Albany, SUNY (Albany or UAlbany)",Great Danes,America East,,,,,,,,
1,Binghamton University,Bearcats,America East,,,,,,,,
2,Bryant University,Bulldogs,America East,,,,,,,,
3,University of Maine (UMaine),Black Bears,America East,,,,,,,,
4,"University of Maryland, Baltimore County (UMBC)",Retrievers,America East,,,,,,,,
5,University of Massachusetts Lowell (UMass Lowell),River Hawks,America East,,,,,,,,
6,University of New Hampshire,Wildcats,America East,,,,,,,,
7,New Jersey Institute of Technology (NJIT),Highlanders,America East,,,,,,,,
8,University of Vermont,Catamounts,America East,,,,,,,,
9,University of North Carolina at Charlotte (Charlotte),49ers,The American,,,,,,,,
10,East Carolina University (ECU),Pirates,The American,,,,,,,,
11,Florida Atlantic University (FAU),Owls,The American,,,,,,,,
12,University of Memphis (U of M),Tigers,The American,,,,,,,,
13,University of North Texas (UNT),Mean Green,The American,,,,,,,,
14,Rice University,Owls,The American,,,,,,,,
15,University of South Florida (USF),Bulls,The American,,,,,,,,
16,Southern Methodist University (SMU),Mustangs,The American[a],,,,,,,,
17,Temple University,Owls,The American,,,,,,,,
18,University of Alabama at Birmingham (UAB),Blazers,The American,,,,,,,,
19,University of Texas at San Antonio (UTSA),Roadrunners,The American,,,,,,,,
20,Tulane University,Green Wave,The American,,,,,,,,
21,University of Tulsa,Golden Hurricane,The American,,,,,,,,
22,Wichita State University,Shockers,The American,,,,,,,,
23,Boston College (BC),Eagles,ACC,,,,,,,,
24,Clemson University,Tigers,ACC,,,,,,,,
25,Duke University,Blue Devils,ACC,,,,,,,,
26,Florida State University (FSU),Seminoles,ACC,,,,,,,,
27,Georgia Institute of Technology (Georgia Tech),Yellow Jackets,ACC,,,,,,,,
28,University of Louisville,Cardinals,ACC,,,,,,,,
29,University of Miami (often Miami (FL) or UM),Hurricanes,ACC,,,,,,,,
30,"University of North Carolina at Chapel Hill (North Carolina, UNC)",Tar Heels,ACC,,,,,,,,
31,North Carolina State University (NC State),Wolfpack,ACC,,,,,,,,
32,University of Notre Dame,Fighting Irish,ACC,,,,,,,,
33,University of Pittsburgh (Pitt),Panthers,ACC,,,,,,,,
34,Syracuse University,Orange,ACC,,,,,,,,
35,University of Virginia (UVA),Cavaliers,ACC,,,,,,,,
36,Virginia Polytechnic Institute and State University (Virginia Tech),Hokies,ACC,,,,,,,,
37,Wake Forest University,Demon Deacons,ACC,,,,,,,,
38,Austin Peay State University (Austin Peay),Governors,ASUN,,,,,,,,
39,Bellarmine University[b],Knights,ASUN,,,,,,,,
40,University of Central Arkansas,Bears,ASUN,,,,,,,,
41,Eastern Kentucky University,Colonels,ASUN,,,,,,,,
42,Florida Gulf Coast University (FGCU),Eagles,ASUN,,,,,,,,
43,Jacksonville University,Dolphins,ASUN,,,,,,,,
44,Kennesaw State University[c],Owls,ASUN,,,,,,,,
45,Lipscomb University,Bisons,ASUN,,,,,,,,
46,University of North Alabama,Lions,ASUN,,,,,,,,
47,University of North Florida,Ospreys,ASUN,,,,,,,,
48,Queens University of Charlotte[d],Royals,ASUN,,,,,,,,
49,Stetson University,Hatters,ASUN,,,,,,,,
50,Davidson College,Wildcats,A-10,,,,,,,,
51,University of Dayton,Flyers,A-10,,,,,,,,
52,Duquesne University,Dukes,A-10,,,,,,,,
53,Fordham University,Rams,A-10,,,,,,,,
54,George Mason University,Patriots,A-10,,,,,,,,
55,George Washington University (GW),Revolutionaries,A-10,,,,,,,,
56,La Salle University,Explorers,A-10,,,,,,,,
57,Loyola University Chicago (Loyola Chicago),Ramblers,A-10,,,,,,,,
