asciiname,latitude,longitude,admin1 code,timezone
Bay Minette,30.88296,-87.77305,AL,America/Chicago
Edna,28.97859,-96.64609,TX,America/Chicago
Bayou La Batre,30.40352,-88.24852,AL,America/Chicago
Henderson,32.15322,-94.79938,TX,America/Chicago
Natalia,29.18968,-98.86253,TX,America/Chicago
Bear Creek,34.27482,-87.70058,AL,America/Chicago
Fort Hunt,38.73289,-77.05803,VA,America/New_York
Yorktown,37.23858,-76.50894,VA,America/New_York
Brighton,33.43428,-86.94721,AL,America/Chicago
Plateau,30.73562,-88.06063,AL,America/Chicago
Ocean View,38.54511,-75.08907,DE,America/New_York
Berry,33.65983,-87.60001,AL,America/Chicago
Trinity,28.18085,-82.68177,FL,America/New_York
Villas,26.55035,-81.8687,FL,America/New_York
Bessemer,33.40178,-86.95444,AL,America/Chicago
Aurora,39.057,-84.90134,IN,America/New_York
New Pekin,38.50506,-86.01692,IN,America/Indiana/Indianapolis
Stockton,39.43807,-99.2651,KS,America/Chicago
Paducah,37.08339,-88.60005,KY,America/Chicago
Monticello,32.59653,-91.394,LA,America/Chicago
Red Chute,32.55598,-93.61323,LA,America/Chicago
Jessup,39.14927,-76.77525,MD,America/New_York
Birmingham,33.52066,-86.80249,AL,America/Chicago
Delhi Hills,39.09284,-84.61272,OH,America/New_York
Turpin Hills,39.11006,-84.37994,OH,America/New_York
Lugoff,34.22737,-80.68925,SC,America/New_York
Cordova,35.15565,-89.7762,TN,America/Chicago
Blountsville,34.08149,-86.5911,AL,America/Chicago
Blue Ridge,32.49264,-86.19052,AL,America/Chicago
Buda,30.08521,-97.84028,TX,America/Chicago
Boaz,34.20065,-86.16637,AL,America/Chicago
Brent,32.93735,-87.16472,AL,America/Chicago
Brewton,31.10518,-87.07219,AL,America/Chicago
Bridgeport,34.94758,-85.71442,AL,America/Chicago
Brook Highland,33.43566,-86.67388,AL,America/Chicago
Brookside,33.63788,-86.91666,AL,America/Chicago
Brookwood,33.25567,-87.32083,AL,America/Chicago
Brundidge,31.72016,-85.81606,AL,America/Chicago
Butler,32.08959,-88.22197,AL,America/Chicago
Bynum,33.61316,-85.96108,AL,America/Chicago
Cahaba Heights,33.464,-86.73193,AL,America/Chicago
Calera,33.1029,-86.7536,AL,America/Chicago
